time_s,accel_g,stress_mpa,innovation_g
0.0,-0.0013912209414650403,0.0,0.0
0.01,0.055383536917102245,0.0,0.0
0.02,0.09242262178184701,0.0,0.0
0.03,0.12139002292867584,0.0,0.0
0.04,0.11613856050371192,0.0,0.0
0.05,0.12840031768787416,0.0,0.0
0.06,0.05010048268583217,0.0,0.0
0.07,0.03661596782706873,0.0,0.0
0.08,0.011811514565036343,0.0,0.0
0.09,-0.03226432740260447,0.0,0.0
0.1,-0.0799055040131827,0.0,0.0
0.11,-0.09563497763767123,0.0,0.0
0.12,-0.11766186506512272,0.0,0.0
0.13,-0.11788403407798834,0.0,0.0
0.14,-0.13181344217649055,0.0,0.0
0.15,-0.07373032711841625,0.0,0.0
0.16,-0.0021156982345896915,0.0,0.0
0.17,0.037507329811757306,0.0,0.0
0.18,0.12100630311866273,0.0,0.0
0.19,0.12142067765289137,0.0,0.0
0.2,0.13217064638209958,0.0,0.0
0.21,0.09375251626441403,0.0,0.0
0.22,0.04065436892844536,0.0,0.0
0.23,0.05276959986458546,0.0,0.0
0.24,0.017135366883517723,0.0,0.0
0.25,-0.012602872307604205,0.0,0.0
0.26,-0.06767083541660865,0.0,0.0
0.27,-0.06868234286654078,0.0,0.0
0.28,-0.12628602682050724,0.0,0.0
0.29,-0.11066980973284604,0.0,0.0
0.3,-0.13046122403171803,0.0,0.0
0.31,-0.0834743558322141,0.0,0.0
0.32,-0.03127227832493022,0.0,0.0
0.33,0.0584151201650156,0.0,0.0
0.34,0.10023130593973995,0.0,0.0
0.35000000000000003,0.11895709458072862,0.0,0.0
0.36,0.12289994670989196,0.0,0.0
0.37,0.10358918202515884,0.0,0.0
0.38,0.07963968569469468,0.0,0.0
0.39,0.05971930904211236,0.0,0.0
0.4,0.00847491867827543,0.0,0.0
0.41000000000000003,-0.010804859669943883,0.0,0.0
0.42,-0.06560298888279392,0.0,0.0
0.43,-0.07906583403746964,0.0,0.0
0.44,-0.09336552892806446,0.0,0.0
0.45,-0.1232090103589229,0.0,0.0
0.46,-0.10704570636409978,0.0,0.0
0.47000000000000003,-0.0677615640031442,0.0,0.0
0.48,-0.019357230101539842,0.0,0.0
0.49,0.04169693197898731,0.0,0.0
