time_s,disp_m,accel_rel_ms2,force_N
0.01000000,-0.00002750,-0.55008235,-0.11689250
0.02000000,-0.00008377,-0.85036581,-0.35604149
0.03000000,-0.00019803,-0.75975604,-0.84162601
0.04000000,-0.00039218,-0.70224558,-1.66676775
0.05000000,-0.00068240,-1.13279835,-2.90018778
0.06000000,-0.00107920,-1.64483731,-4.58661669
0.07000000,-0.00154502,-0.50349623,-6.56635406
0.08000000,-0.00212551,-0.07780887,-9.03342124
0.09000000,-0.00274773,-0.11823783,-11.67783619
0.10000000,-0.00335246,0.40719177,-14.24796169
0.11000000,-0.00394852,0.55445535,-16.78121786
0.12000000,-0.00448274,0.90333834,-19.05163314
0.13000000,-0.00495023,0.95441189,-21.03848295
0.14000000,-0.00533623,0.75205376,-22.67898850
0.15000000,-0.00562300,0.92903173,-23.89776173
0.16000000,-0.00583534,0.82501736,-24.80021126
0.17000000,-0.00597583,0.45600312,-25.39728935
0.18000000,-0.00606046,0.10772749,-25.75695140
0.19000000,-0.00610343,0.20293155,-25.93958555
0.20000000,-0.00614439,-0.01973320,-26.11363634
0.21000000,-0.00619198,-0.44711644,-26.31591829
0.22000000,-0.00626598,-0.72193127,-26.63039447
0.23000000,-0.00639575,-0.80596091,-27.18195051
0.24000000,-0.00659974,-0.80426364,-28.04889482
0.25000000,-0.00689604,-1.03951671,-29.30818346
0.26000000,-0.00727425,-0.95151348,-30.91557910
0.27000000,-0.00774186,-0.70434006,-32.90289464
0.28000000,-0.00827994,-0.33452848,-35.18975628
0.29000000,-0.00886775,-0.10513361,-37.68792355
0.30000000,-0.00946284,0.30353258,-40.21705066
0.31000000,-0.01004576,0.55284487,-42.69445990
0.32000000,-0.01057519,0.89092097,-44.94453720
0.33000000,-0.01103754,0.95767744,-46.90954909
0.34000000,-0.01142102,0.71999832,-48.53933351
0.35000000,-0.01169852,1.04310126,-49.71869905
0.36000000,-0.01190938,0.77419753,-50.61487766
0.37000000,-0.01203106,0.60620893,-51.13200683
0.38000000,-0.01209312,0.33418091,-51.39575679
0.39000000,-0.01211956,-0.02990835,-51.50813991
0.40000000,-0.01211473,0.10936804,-51.48758439
0.41000000,-0.01213578,-0.41829724,-51.57707067
0.42000000,-0.01216225,-0.48150228,-51.68957104
0.43000000,-0.01225509,-0.94058211,-52.08411774
0.44000000,-0.01239394,-0.66833662,-52.67422797
0.45000000,-0.01263133,-0.89417260,-53.68314966
0.46000000,-0.01293075,-0.68504128,-54.95566908
0.47000000,-0.01331016,-0.60132120,-56.56820114
0.48000000,-0.01375695,-0.62037963,-58.46703040
0.49000000,-0.01423728,-0.07926917,-60.50846015
0.50000000,-0.01475984,0.04660695,-62.72930959
0.51000000,-0.01525980,0.59397870,-64.85415758
0.52000000,-0.01573880,0.64640068,-66.88989970
0.53000000,-0.01612149,1.35840234,-68.51633069
0.54000000,-0.01643503,1.09255219,-69.84888437
0.55000000,-0.01662454,0.98925306,-70.65431469
0.56000000,-0.01670663,1.00427437,-71.00319384
0.57000000,-0.01670110,0.77077883,-70.97966223
0.58000000,-0.01662785,0.23320455,-70.66835744
0.59000000,-0.01649184,0.21571363,-70.09030575
0.60000000,-0.01634956,-0.11660578,-69.48561840
0.61000000,-0.01620958,-0.42797723,-68.89072813
0.62000000,-0.01611529,-0.95263664,-68.48996866
0.63000000,-0.01607054,-0.82532867,-68.29979163
0.64000000,-0.01612047,-0.87722637,-68.51198696
0.65000000,-0.01625376,-0.86791005,-69.07848139
0.66000000,-0.01646332,-0.64349563,-69.96911911
0.67000000,-0.01674063,-0.37489097,-71.14769607
0.68000000,-0.01707127,-0.28875552,-72.55291565
0.69000000,-0.01741054,0.24552931,-73.99477647
0.70000000,-0.01777820,-0.01207884,-75.55733236
0.71000000,-0.01808036,0.93563858,-76.84151920
0.72000000,-0.01837061,0.72406625,-78.07510370
0.73000000,-0.01856636,0.84870671,-78.90703526
0.74000000,-0.01867700,1.04052865,-79.37723346
0.75000000,-0.01869321,1.13563849,-79.44613938
0.76000000,-0.01860233,1.14879329,-79.05991981
0.77000000,-0.01840125,1.07516050,-78.20530315
0.78000000,-0.01811377,0.54224680,-76.98351699
0.79000000,-0.01773201,0.54398893,-75.36103949
0.80000000,-0.01730537,0.35625436,-73.54781560
0.81000000,-0.01684096,0.11755390,-71.57406705
0.82000000,-0.01637132,-0.37101334,-69.57809287
0.83000000,-0.01592070,-0.74228736,-67.66296428
0.84000000,-0.01551313,-0.67558260,-65.93078945
0.85000000,-0.01517551,-0.62336057,-64.49590220
0.86000000,-0.01492691,-1.07884117,-63.43937859
0.87000000,-0.01474026,-0.84314315,-62.64609220
0.88000000,-0.01465915,-0.91421346,-62.30137283
0.89000000,-0.01464996,-0.63085518,-62.26232689
0.90000000,-0.01472624,-0.65341891,-62.58650965
0.91000000,-0.01484419,-0.21385037,-63.08779494
0.92000000,-0.01500693,-0.02267355,-63.77945403
0.93000000,-0.01516496,0.40366560,-64.45108993
0.94000000,-0.01530214,0.65294227,-65.03409226
0.95000000,-0.01538386,0.83013188,-65.38139826
0.96000000,-0.01538305,1.08622876,-65.37795682
0.97000000,-0.01529966,0.94941198,-65.02357260
0.98000000,-0.01511975,0.77603837,-64.25891984
0.99000000,-0.01484044,0.95156718,-63.07188805
1.00000000,-0.01448398,0.85492028,-61.55692749
1.01000000,-0.01407149,0.12064919,-59.80385221
1.02000000,-0.01359531,0.05181079,-57.78008028
1.03000000,-0.01312595,-0.29153691,-55.78530792
1.04000000,-0.01267249,-0.54129228,-53.85806967
1.05000000,-0.01225124,-0.47779498,-52.06777794
1.06000000,-0.01189823,-0.79166089,-50.56748535
1.07000000,-0.01160469,-0.86859057,-49.31995143
1.08000000,-0.01139308,-0.88526731,-48.42059098
1.09000000,-0.01126049,-0.72015288,-47.85706660
1.10000000,-0.01121668,-0.80786415,-47.67087608
1.11000000,-0.01122452,-0.35683530,-47.70422621
1.12000000,-0.01128439,-0.00706717,-47.95867107
1.13000000,-0.01135363,0.34434182,-48.25293365
1.14000000,-0.01140225,0.59526483,-48.45954143
1.15000000,-0.01139537,0.89080788,-48.43034048
1.16000000,-0.01131439,1.03469642,-48.08617420
1.17000000,-0.01114220,1.00543758,-47.35434392
1.18000000,-0.01087664,0.81791191,-46.22572562
1.19000000,-0.01051496,0.82337825,-44.68855935
1.20000000,-0.01009903,0.26958256,-42.92088131
1.21000000,-0.00962606,0.04074251,-40.91073681
1.22000000,-0.00913823,-0.08690787,-38.83745968
1.23000000,-0.00866677,-0.43208302,-36.83377956
1.24000000,-0.00822129,-0.60516132,-34.94048928
1.25000000,-0.00784723,-1.08277024,-33.35071575
1.26000000,-0.00753146,-0.79956014,-32.00869959
1.27000000,-0.00732714,-1.00458050,-31.14033652
1.28000000,-0.00720670,-0.98051908,-30.62845688
1.29000000,-0.00716729,-0.60404989,-30.46096773
1.30000000,-0.00719275,-0.12863756,-30.56917421
1.31000000,-0.00725205,0.16499039,-30.82119339
1.32000000,-0.00730456,0.41121105,-31.04436368
1.33000000,-0.00731290,0.84137081,-31.07984316
1.34000000,-0.00727090,0.81090288,-30.90132790
1.35000000,-0.00713750,0.97132373,-30.33437783
1.36000000,-0.00691341,1.08313731,-29.38198894
1.37000000,-0.00659525,0.96592187,-28.02981555
1.38000000,-0.00618513,0.69740143,-26.28682354
1.39000000,-0.00569739,0.45236580,-24.21391510
1.40000000,-0.00515260,0.32110696,-21.89853859
1.41000000,-0.00458236,-0.00921640,-19.47504659
1.42000000,-0.00401601,-0.56377402,-17.06802448
1.43000000,-0.00345972,-0.46944343,-14.70379584
1.44000000,-0.00298626,-1.04568924,-12.69160076
1.45000000,-0.00256889,-0.94046430,-10.91778496
1.46000000,-0.00225176,-0.90651643,-9.56999301
1.47000000,-0.00203867,-1.12323282,-8.66434367
1.48000000,-0.00191945,-1.07942897,-8.15768160
1.49000000,-0.00188685,-0.58710075,-8.01911957
1.50000000,-0.00196126,-0.81469368,-8.33536848
1.51000000,-0.00209441,-0.70148320,-8.90125973
1.52000000,-0.00228524,-0.28215118,-9.71225913
1.53000000,-0.00251394,0.15358235,-10.68424148
1.54000000,-0.00274595,0.43392282,-11.67026904
1.55000000,-0.00292115,1.12270466,-12.41487180
1.56000000,-0.00304327,0.97201225,-12.93389641
1.57000000,-0.00306096,0.89066446,-13.00906903
1.58000000,-0.00297937,0.97276350,-12.66233359
1.59000000,-0.00282553,0.59548120,-12.00851522
1.60000000,-0.00259982,0.27614638,-11.04921726
1.61000000,-0.00232418,0.24330673,-9.87774754
1.62000000,-0.00206663,-0.65444129,-8.78317628
1.63000000,-0.00180776,-0.66565503,-7.68296830
1.64000000,-0.00162854,-0.94426276,-6.92129347
1.65000000,-0.00152876,-1.06238407,-6.49722488
1.66000000,-0.00152223,-0.97991497,-6.46949367
1.67000000,-0.00160628,-0.70786180,-6.82670205
1.68000000,-0.00176174,-0.31221142,-7.48739293
1.69000000,-0.00199931,-0.73652459,-8.49705378
1.70000000,-0.00224880,-0.13841120,-9.55738865
1.71000000,-0.00254799,0.04149869,-10.82896608
1.72000000,-0.00284048,0.36242231,-12.07205657
1.73000000,-0.00309551,0.86821726,-13.15593056
1.74000000,-0.00330421,0.81721041,-14.04287330
1.75000000,-0.00341840,0.99633020,-14.52818024
1.76000000,-0.00344776,0.96894804,-14.65295998
1.77000000,-0.00338706,0.79115712,-14.39498930
1.78000000,-0.00325845,0.30040248,-13.84839136
1.79000000,-0.00306299,0.30024321,-13.01772817
1.80000000,-0.00286130,-0.17560485,-12.16052856
1.81000000,-0.00265088,-0.36364067,-11.26624206
1.82000000,-0.00248387,-0.78667761,-10.55646177
1.83000000,-0.00236605,-0.83148194,-10.05569736
1.84000000,-0.00232209,-0.71312218,-9.86887994
1.85000000,-0.00237691,-1.08483835,-10.10185631
1.86000000,-0.00249661,-0.77035344,-10.61057641
1.87000000,-0.00271444,-0.72057742,-11.53636138
1.88000000,-0.00298673,-0.29401434,-12.69361320
1.89000000,-0.00330715,-0.02852893,-14.05537246
1.90000000,-0.00363569,0.26417835,-15.45167968
1.91000000,-0.00394486,0.56238616,-16.76564239
1.92000000,-0.00421193,0.72672620,-17.90072246
1.93000000,-0.00440518,0.99650386,-18.72199954
1.94000000,-0.00451829,1.01066878,-19.20274405
1.95000000,-0.00452974,1.04400206,-19.25138608
1.96000000,-0.00445029,0.82388200,-18.91372773
1.97000000,-0.00427614,0.73991027,-18.17360025
1.98000000,-0.00404361,0.30172726,-17.18535881
1.99000000,-0.00374960,0.27074467,-15.93579625
2.00000000,-0.00344049,-0.01526443,-14.62206843
2.01000000,-0.00313790,-0.54417641,-13.33605639
2.02000000,-0.00287014,-0.94587894,-12.19809043
2.03000000,-0.00265679,-0.74475752,-11.29134202
2.04000000,-0.00253269,-0.73863284,-10.76392153
2.05000000,-0.00249254,-0.93124946,-10.59330326
2.06000000,-0.00252366,-0.78304547,-10.72557612
2.07000000,-0.00262943,-0.48756495,-11.17509372
2.08000000,-0.00278924,-0.14998719,-11.85427556
2.09000000,-0.00298799,-0.12250798,-12.69896553
2.10000000,-0.00318958,0.10698891,-13.55571231
2.11000000,-0.00338637,0.33328665,-14.39205266
2.12000000,-0.00355162,0.63669627,-15.09440405
2.13000000,-0.00366186,0.91896373,-15.56288950
2.14000000,-0.00370606,0.82503354,-15.75074829
2.15000000,-0.00365091,1.02107922,-15.51636786
2.16000000,-0.00351109,0.96647254,-14.92212225
2.17000000,-0.00329808,0.41535305,-14.01683282
2.18000000,-0.00300165,0.42641523,-12.75699829
2.19000000,-0.00266462,0.40198665,-11.32465443
2.20000000,-0.00230322,0.04892932,-9.78870432
2.21000000,-0.00191882,-0.11850067,-8.15500110
2.22000000,-0.00155752,-0.59459538,-6.61946248
2.23000000,-0.00123295,-0.85427897,-5.24005447
2.24000000,-0.00096886,-0.74467705,-4.11765047
2.25000000,-0.00080971,-1.18984512,-3.44126804
2.26000000,-0.00072312,-0.92908886,-3.07326177
2.27000000,-0.00073154,-0.57993037,-3.10903813
2.28000000,-0.00082727,-0.64267455,-3.51591231
2.29000000,-0.00096191,-0.22952635,-4.08812948
2.30000000,-0.00113397,0.10097230,-4.81935537
2.31000000,-0.00132827,-0.05032198,-5.64516451
2.32000000,-0.00149127,0.44962279,-6.33789718
2.33000000,-0.00163262,0.73319599,-6.93863825
2.34000000,-0.00171458,0.87990078,-7.28698522
2.35000000,-0.00172833,0.70447943,-7.34541354
2.36000000,-0.00163078,1.25844191,-6.93080553
2.37000000,-0.00147565,0.72394018,-6.27151686
2.38000000,-0.00121103,0.66420571,-5.14687476
2.39000000,-0.00089611,0.25223080,-3.80844955
2.40000000,-0.00054241,-0.09475498,-2.30524371
2.41000000,-0.00018543,-0.35999513,-0.78807056
2.42000000,0.00014363,-0.59640162,0.61041358
2.43000000,0.00042319,-0.74800995,1.79856484
2.44000000,0.00062721,-0.99035054,2.66563964
2.45000000,0.00074564,-1.08496564,3.16895582
2.46000000,0.00077615,-0.81525247,3.29863422
2.47000000,0.00071565,-0.60035240,3.04152550
2.48000000,0.00058446,-0.49129409,2.48394251
2.49000000,0.00040401,-0.33015929,1.71703835
2.50000000,0.00020024,0.10551776,0.85103614
2.51000000,-0.00002443,0.12990156,-0.10381153
2.52000000,-0.00021804,0.52779298,-0.92667144
2.53000000,-0.00037326,0.83684401,-1.58637388
2.54000000,-0.00045933,1.00993958,-1.95214482
2.55000000,-0.00044557,1.24618120,-1.89366431
2.56000000,-0.00033279,1.08847901,-1.41437052
2.57000000,-0.00011303,0.81475657,-0.48037161
2.58000000,0.00017907,0.22128526,0.76103523
2.59000000,0.00053217,0.10873246,2.26173981
2.60000000,0.00090603,0.13743510,3.85063120
2.61000000,0.00126737,-0.34480797,5.38630689
2.62000000,0.00161655,-0.62152629,6.87035153
2.63000000,0.00190254,-1.05755272,8.08579584
2.64000000,0.00212622,-0.84262964,9.03643483
2.65000000,0.00224238,-0.98544394,9.53010145
2.66000000,0.00228565,-0.68646512,9.71400945
2.67000000,0.00222760,-0.89146800,9.46730717
2.68000000,0.00209968,-0.81350752,8.92364226
2.69000000,0.00190720,-0.36070762,8.10560673
2.70000000,0.00166497,0.04476120,7.07610261
2.71000000,0.00141273,0.36354890,6.00412121
2.72000000,0.00118725,0.64952978,5.04580544
2.73000000,0.00101307,0.80553933,4.30553546
2.74000000,0.00092792,1.20913887,3.94365654
2.75000000,0.00093183,1.17747305,3.96028531
2.76000000,0.00105475,1.15514169,4.48268818
2.77000000,0.00127808,0.81954833,5.43183081
