time_s,disp_m,accel_rel_ms2,force_N
0.01000000,-0.00002750,-0.55004974,-0.13751244
0.02000000,-0.00008377,-0.85023655,-0.41882779
0.03000000,-0.00019800,-0.75946915,-0.98999952
0.04000000,-0.00039210,-0.70174866,-1.96051348
0.05000000,-0.00068222,-1.13201422,-3.41111334
0.06000000,-0.00107886,-1.64364742,-5.39427903
0.07000000,-0.00154439,-0.50184123,-7.72195443
0.08000000,-0.00212444,-0.07568804,-10.62218946
0.09000000,-0.00274601,-0.11564837,-13.73006605
0.10000000,-0.00334986,0.41022619,-16.74931306
0.11000000,-0.00394475,0.55788869,-19.72373431
0.12000000,-0.00447746,0.90710489,-22.38728060
0.13000000,-0.00494308,0.95843549,-24.71539787
0.14000000,-0.00532682,0.75627212,-26.63408721
0.15000000,-0.00561091,0.93337754,-28.05455287
0.16000000,-0.00582015,0.82942323,-29.10073288
0.17000000,-0.00595709,0.46042778,-29.78546726
0.18000000,-0.00603774,0.11215857,-30.18868176
0.19000000,-0.00607628,0.20735629,-30.38141659
0.20000000,-0.00611237,-0.01531987,-30.56184147
0.21000000,-0.00615465,-0.44268787,-30.77326471
0.22000000,-0.00622289,-0.71743594,-31.11445591
0.23000000,-0.00634646,-0.80133952,-31.73231045
0.24000000,-0.00654378,-0.79945753,-32.71890041
0.25000000,-0.00683293,-1.03445425,-34.16467406
0.26000000,-0.00720349,-0.94612259,-36.01746815
0.27000000,-0.00766291,-0.69856790,-38.31455923
0.28000000,-0.00819224,-0.32834970,-40.96121272
0.29000000,-0.00877068,-0.09854362,-43.85342137
0.30000000,-0.00935576,0.31051162,-46.77881530
0.31000000,-0.00992799,0.56016779,-49.63993508
0.32000000,-0.01044600,0.89852000,-52.23000399
0.33000000,-0.01089619,0.96547467,-54.48095630
0.34000000,-0.01126673,0.72793134,-56.33366512
0.35000000,-0.01153051,1.05109503,-57.65253859
0.36000000,-0.01172686,0.78218277,-58.63427900
0.37000000,-0.01183322,0.61413606,-59.16609761
0.38000000,-0.01187917,0.34201825,-59.39586011
0.39000000,-0.01188872,-0.02216559,-59.44361528
0.40000000,-0.01186622,0.11700977,-59.33109046
0.41000000,-0.01186884,-0.41073844,-59.34418857
0.42000000,-0.01187611,-0.47399017,-59.38056325
0.43000000,-0.01194900,-0.93305650,-59.74498020
0.44000000,-0.01206714,-0.66074271,-60.33569708
0.45000000,-0.01228307,-0.88645326,-61.41533063
0.46000000,-0.01256024,-0.67714378,-62.80122198
0.47000000,-0.01291664,-0.59320521,-64.58319163
0.48000000,-0.01333959,-0.61200398,-66.69794054
0.49000000,-0.01379526,-0.07062370,-68.97629683
0.50000000,-0.01429229,0.05551115,-71.46144887
0.51000000,-0.01476585,0.60309983,-73.82924873
0.52000000,-0.01521754,0.65568130,-76.08769906
0.53000000,-0.01557200,1.36774651,-77.86001049
0.54000000,-0.01585639,1.10186257,-79.28194410
0.55000000,-0.01601582,0.99845171,-80.07909266
0.56000000,-0.01606691,1.01328269,-80.33452855
0.57000000,-0.01602946,0.77953094,-80.14732265
0.58000000,-0.01592343,0.24167257,-79.61715897
0.59000000,-0.01575378,0.22388210,-78.76890973
0.60000000,-0.01557704,-0.10873695,-77.88520278
0.61000000,-0.01540181,-0.42038143,-77.00904327
0.62000000,-0.01527149,-0.94525134,-76.35742529
0.63000000,-0.01518996,-0.81808867,-75.94981608
0.64000000,-0.01520239,-0.87007137,-76.01193290
0.65000000,-0.01529745,-0.86077787,-76.48726850
0.66000000,-0.01546807,-0.63633812,-77.34036817
0.67000000,-0.01570573,-0.36768150,-78.52863765
0.68000000,-0.01599599,-0.28147720,-79.97994304
0.69000000,-0.01629415,0.25286193,-81.47072886
0.70000000,-0.01661997,-0.00470366,-83.09985228
0.71000000,-0.01687956,0.94299967,-84.39781461
