time_s,disp_m,accel_rel_ms2,force_N
0.00500,0.00000002,0.00299060,0.000065
0.01000,0.00000009,0.00298991,0.000327
0.01500,0.00000024,0.00298882,0.000850
0.02000,0.00000047,0.00298783,0.001635
0.02500,0.00000077,0.00298650,0.002681
0.03000,0.00000114,0.00298520,0.003989
0.03500,0.00000159,0.00298349,0.005558
0.04000,0.00000211,0.00298194,0.007387
0.04500,0.00000271,0.00298015,0.009478
0.05000,0.00000338,0.00297815,0.011830
0.05500,0.00000413,0.00297594,0.014442
0.06000,0.00000495,0.00297378,0.017314
0.06500,0.00000584,0.00297125,0.020447
0.07000,0.00000681,0.00296881,0.023839
0.07500,0.00000785,0.00296611,0.027492
0.08000,0.00000897,0.00296349,0.031404
0.08500,0.00001016,0.00296039,0.035575
0.09000,0.00001143,0.00295744,0.040005
0.09500,0.00001277,0.00295420,0.044694
0.10000,0.00001418,0.00295095,0.049642
0.10500,0.00001567,0.00294754,0.054848
0.11000,0.00001723,0.00294403,0.060311
0.11500,0.00001887,0.00294058,0.066032
0.12000,0.00002057,0.00293715,0.072011
0.12500,0.00002236,0.00293339,0.078246
0.13000,0.00002421,0.00292989,0.084739
0.13500,0.00002614,0.00292580,0.091487
0.14000,0.00002814,0.00291906,0.098492
0.14500,0.00003021,0.00290796,0.105752
0.15000,0.00003236,0.00289513,0.113266
0.15500,0.00003458,0.00288345,0.121033
0.16000,0.00003687,0.00287254,0.129053
0.16500,0.00003924,0.00285810,0.137325
0.17000,0.00004167,0.00283922,0.145846
0.17500,0.00004418,0.00281897,0.154615
0.18000,0.00004675,0.00280204,0.163632
0.18500,0.00004940,0.00279603,0.172893
0.19000,0.00005211,0.00280831,0.182400
0.19500,0.00005490,0.00283317,0.192153
0.20000,0.00005776,0.00285618,0.202154
0.20500,0.00006069,0.00286828,0.212404
0.21000,0.00006369,0.00286669,0.222905
0.21500,0.00006676,0.00285974,0.233657
0.22000,0.00006990,0.00286098,0.244659
0.22500,0.00007312,0.00287734,0.255911
0.23000,0.00007640,0.00289625,0.267416
0.23500,0.00007976,0.00290181,0.279174
0.24000,0.00008320,0.00289246,0.291185
0.24500,0.00008670,0.00287759,0.303449
0.25000,0.00009028,0.00286894,0.315966
0.25500,0.00009392,0.00287637,0.328733
0.26000,0.00009764,0.00290804,0.341753
0.26500,0.00010144,0.00295510,0.355028
0.27000,0.00010530,0.00299612,0.368561
0.27500,0.00010924,0.00301706,0.382355
