time_s,disp_m,accel_rel_ms2,force_N
0.00500,0.00000002,0.00299030,0.000093
0.01000,0.00000009,0.00298896,0.000467
0.01500,0.00000024,0.00298709,0.001215
0.02000,0.00000047,0.00298522,0.002335
0.02500,0.00000077,0.00298290,0.003829
0.03000,0.00000114,0.00298050,0.005696
0.03500,0.00000159,0.00297758,0.007935
0.04000,0.00000211,0.00297472,0.010547
0.04500,0.00000271,0.00297149,0.013530
0.05000,0.00000338,0.00296796,0.016885
0.05500,0.00000412,0.00296410,0.020610
0.06000,0.00000494,0.00296020,0.024707
0.06500,0.00000583,0.00295581,0.029173
0.07000,0.00000680,0.00295139,0.034009
0.07500,0.00000784,0.00294663,0.039213
0.08000,0.00000896,0.00294182,0.044786
0.08500,0.00001015,0.00293643,0.050727
0.09000,0.00001141,0.00293110,0.057035
0.09500,0.00001274,0.00292536,0.063709
0.10000,0.00001415,0.00291951,0.070748
0.10500,0.00001563,0.00291341,0.078153
0.11000,0.00001718,0.00290709,0.085922
0.11500,0.00001881,0.00290074,0.094054
0.12000,0.00002051,0.00289430,0.102549
0.12500,0.00002228,0.00288743,0.111406
0.13000,0.00002412,0.00288073,0.120623
0.13500,0.00002604,0.00287333,0.130201
0.14000,0.00002803,0.00286319,0.140138
0.14500,0.00003009,0.00284858,0.150432
0.15000,0.00003222,0.00283215,0.161082
0.15500,0.00003442,0.00281678,0.172087
0.16000,0.00003669,0.00280208,0.183444
0.16500,0.00003903,0.00278377,0.195150
0.17000,0.00004144,0.00276092,0.207205
0.17500,0.00004392,0.00273661,0.219605
0.18000,0.00004647,0.00271554,0.232347
0.18500,0.00004909,0.00270529,0.245428
0.19000,0.00005177,0.00271325,0.258849
0.19500,0.00005452,0.00273370,0.272609
0.20000,0.00005734,0.00275221,0.286710
0.20500,0.00006023,0.00275971,0.301155
0.21000,0.00006319,0.00275343,0.315945
0.21500,0.00006622,0.00274170,0.331079
0.22000,0.00006931,0.00273808,0.346556
0.22500,0.00007248,0.00274949,0.362375
0.23000,0.00007571,0.00276336,0.378538
